City,Date,NDVI
Los Angeles,5/16/2014,0.135
Los Angeles,5/16/2014,0.097
Los Angeles,6/1/2014,0.136
Los Angeles,6/17/2014,0.133
Los Angeles,7/3/2014,0.131
Los Angeles,8/4/2014,0.129
Los Angeles,8/20/2014,0.124
Los Angeles,9/5/2014,0.122
Los Angeles,10/7/2014,0.116
Los Angeles,10/23/2014,0.113
Los Angeles,10/23/2014,0.084
Los Angeles,11/8/2014,0.119
Los Angeles,11/24/2014,0.112
Los Angeles,11/24/2014,0.082
Los Angeles,12/26/2014,0.123
Los Angeles,12/26/2014,0.095
Los Angeles,1/27/2015,0.107
Los Angeles,2/12/2015,0.144
Los Angeles,2/12/2015,0.107
Los Angeles,3/16/2015,0.104
Los Angeles,4/1/2015,0.145
Los Angeles,4/1/2015,0.101
Los Angeles,4/17/2015,0.137
Los Angeles,4/17/2015,0.095
Los Angeles,5/3/2015,0.136
Los Angeles,5/19/2015,0.133
Los Angeles,6/20/2015,0.127
Los Angeles,8/7/2015,0.124
Los Angeles,9/8/2015,0.118
Los Angeles,9/8/2015,0.091
Los Angeles,9/24/2015,0.124
Los Angeles,9/24/2015,0.095
Los Angeles,10/10/2015,0.123
Los Angeles,10/10/2015,0.095
Los Angeles,10/26/2015,0.12
Los Angeles,10/26/2015,0.092
Los Angeles,11/11/2015,0.118
Los Angeles,11/11/2015,0.089
Los Angeles,12/13/2015,0.113
Los Angeles,12/13/2015,0.084
Los Angeles,12/29/2015,0.108
Los Angeles,12/29/2015,0.081
Los Angeles,2/15/2016,0.128
Los Angeles,2/15/2016,0.094
Los Angeles,3/2/2016,0.14
Los Angeles,3/18/2016,0.156
Los Angeles,4/3/2016,0.152
Los Angeles,4/19/2016,0.141
Los Angeles,4/19/2016,0.096
Los Angeles,6/22/2016,0.124
Los Angeles,7/8/2016,0.122
Los Angeles,7/24/2016,0.118
Los Angeles,8/9/2016,0.118
Los Angeles,8/25/2016,0.114
Los Angeles,9/10/2016,0.115
Los Angeles,9/26/2016,0.111
Los Angeles,9/26/2016,0.085
Los Angeles,11/13/2016,0.109
Los Angeles,11/13/2016,0.081
Los Angeles,11/29/2016,0.111
Los Angeles,11/29/2016,0.083
Los Angeles,1/16/2017,0.123
Los Angeles,1/16/2017,0.094
Los Angeles,2/1/2017,0.129
Los Angeles,4/22/2017,0.148
Los Angeles,4/22/2017,0.103
Los Angeles,5/8/2017,0.144
Los Angeles,5/8/2017,0.105
Los Angeles,6/9/2017,0.141
Los Angeles,6/25/2017,0.136
Los Angeles,7/11/2017,0.133
Los Angeles,7/27/2017,0.132
Los Angeles,8/12/2017,0.129
Los Angeles,8/28/2017,0.127
Los Angeles,9/13/2017,0.115
Los Angeles,9/13/2017,0.096
Los Angeles,9/29/2017,0.12
Los Angeles,10/15/2017,0.116
Los Angeles,12/2/2017,0.111
Los Angeles,12/2/2017,0.086
Los Angeles,12/18/2017,0.108
Los Angeles,12/18/2017,0.078
Los Angeles,2/4/2018,0.119
Los Angeles,2/4/2018,0.087
Los Angeles,2/20/2018,0.12
Los Angeles,2/20/2018,0.087
Los Angeles,4/9/2018,0.118
Los Angeles,4/25/2018,0.141
Los Angeles,5/27/2018,0.145
Los Angeles,6/12/2018,0.131
Los Angeles,6/28/2018,0.128
Los Angeles,7/14/2018,0.124
Los Angeles,8/15/2018,0.122
Los Angeles,8/31/2018,0.118
Los Angeles,9/16/2018,0.116
Los Angeles,9/16/2018,0.09
Los Angeles,10/18/2018,0.116
Los Angeles,10/18/2018,0.088
Los Angeles,11/3/2018,0.113
Los Angeles,1/6/2019,0.093
Los Angeles,1/22/2019,0.127
Los Angeles,1/22/2019,0.099
Los Angeles,2/7/2019,0.135
Los Angeles,2/7/2019,0.103
Los Angeles,2/23/2019,0.137
Los Angeles,2/23/2019,0.105
Los Angeles,4/12/2019,0.107
Los Angeles,5/30/2019,0.148
Los Angeles,7/1/2019,0.143
Los Angeles,7/17/2019,0.141
Los Angeles,8/2/2019,0.136
Los Angeles,8/18/2019,0.129
Los Angeles,9/3/2019,0.131
Los Angeles,10/5/2019,0.121
Los Angeles,10/5/2019,0.088
Los Angeles,10/21/2019,0.121
Los Angeles,10/21/2019,0.088
Los Angeles,11/6/2019,0.119
Los Angeles,11/22/2019,0.122
Los Angeles,12/24/2019,0.102
Los Angeles,1/25/2020,0.141
Los Angeles,2/26/2020,0.14
Los Angeles,2/26/2020,0.101
Los Angeles,4/14/2020,0.157
Los Angeles,5/16/2020,0.156
Los Angeles,5/16/2020,0.109
Los Angeles,7/3/2020,0.145
Los Angeles,7/19/2020,0.14
Los Angeles,8/20/2020,0.13
Los Angeles,9/5/2020,0.129
Los Angeles,9/5/2020,0.094
Los Angeles,9/21/2020,0.126
Los Angeles,10/7/2020,0.122
Los Angeles,11/24/2020,0.119
Melbourne,1/14/2014,0.114
Melbourne,1/30/2014,0.112
Melbourne,2/6/2014,0.097
Melbourne,3/3/2014,0.109
Melbourne,10/4/2014,0.109
Melbourne,10/20/2014,0.109
Melbourne,12/16/2014,0.122
Melbourne,2/9/2015,0.115
Melbourne,3/22/2015,0.111
Melbourne,3/29/2015,0.106
Melbourne,4/30/2015,0.108
Melbourne,7/19/2015,0.103
Melbourne,9/14/2015,0.106
Melbourne,11/8/2015,0.117
Melbourne,11/24/2015,0.117
Melbourne,12/10/2015,0.109
Melbourne,12/19/2015,0.124
Melbourne,2/5/2016,0.118
Melbourne,2/12/2016,0.113
Melbourne,2/21/2016,0.114
Melbourne,4/25/2016,0.111
Melbourne,8/15/2016,0.104
Melbourne,10/25/2016,0.117
Melbourne,11/3/2016,0.128
Melbourne,11/19/2016,0.126
Melbourne,12/12/2016,0.125
Melbourne,1/6/2017,0.126
Melbourne,1/22/2017,0.123
Melbourne,1/29/2017,0.117
Melbourne,2/23/2017,0.116
Melbourne,3/18/2017,0.113
Melbourne,4/3/2017,0.112
Melbourne,4/12/2017,0.105
Melbourne,7/1/2017,0.112
Melbourne,11/13/2017,0.116
Melbourne,11/22/2017,0.121
Melbourne,11/29/2017,0.117
Melbourne,12/15/2017,0.123
Melbourne,12/31/2017,0.126
Melbourne,1/16/2018,0.122
Melbourne,5/1/2018,0.113
Melbourne,8/12/2018,0.099
Melbourne,9/13/2018,0.099
Melbourne,10/8/2018,0.136
Melbourne,11/16/2018,0.131
Melbourne,12/11/2018,0.125
Melbourne,12/27/2018,0.136
Melbourne,1/3/2019,0.139
Melbourne,1/12/2019,0.201
Melbourne,1/19/2019,0.118
Melbourne,3/17/2019,0.11
Melbourne,3/24/2019,0.107
Melbourne,4/2/2019,0.11
Melbourne,6/28/2019,0.098
Melbourne,8/24/2019,0.103
Melbourne,8/31/2019,0.101
Melbourne,11/28/2019,0.116
Melbourne,2/23/2020,0.12
Melbourne,3/10/2020,0.12
Melbourne,8/10/2020,0.103
Melbourne,9/11/2020,0.11
Melbourne,11/30/2020,0.127
New York,1/4/2014,0.049
New York,4/1/2014,0.065
New York,4/1/2014,0.063
New York,4/10/2014,0.071
New York,5/19/2014,0.152
New York,7/6/2014,0.175
New York,7/6/2014,0.173
New York,7/31/2014,0.177
New York,8/7/2014,0.167
New York,9/17/2014,0.157
New York,1/23/2015,0.066
New York,3/12/2015,0.047
New York,4/29/2015,0.1
New York,5/22/2015,0.156
New York,6/7/2015,0.164
New York,6/7/2015,0.16
New York,7/25/2015,0.173
New York,7/25/2015,0.167
New York,8/3/2015,0.173
New York,8/26/2015,0.162
New York,10/6/2015,0.152
New York,2/2/2016,0.048
New York,2/18/2016,0.065
New York,3/21/2016,0.072
New York,3/21/2016,0.07
New York,3/30/2016,0.082
New York,4/15/2016,0.091
New York,6/9/2016,0.169
New York,6/18/2016,0.177
New York,6/25/2016,0.165
New York,7/20/2016,0.173
New York,7/27/2016,0.17
New York,7/27/2016,0.164
New York,8/5/2016,0.17
New York,8/12/2016,0.169
New York,8/28/2016,0.159
New York,8/28/2016,0.157
New York,9/13/2016,0.149
New York,10/15/2016,0.141
New York,10/15/2016,0.139
New York,10/31/2016,0.128
New York,11/16/2016,0.101
New York,2/4/2017,0.067
New York,2/20/2017,0.067
New York,2/20/2017,0.066
New York,3/8/2017,0.059
New York,3/17/2017,0.014
New York,4/2/2017,0.076
New York,4/9/2017,0.081
New York,4/9/2017,0.08
New York,4/18/2017,0.097
New York,5/4/2017,0.139
New York,6/12/2017,0.173
New York,6/12/2017,0.17
New York,7/30/2017,0.175
New York,7/30/2017,0.173
New York,8/24/2017,0.172
New York,8/31/2017,0.163
New York,9/9/2017,0.168
New York,10/2/2017,0.147
New York,10/2/2017,0.146
New York,10/18/2017,0.135
New York,10/18/2017,0.133
New York,10/27/2017,0.127
New York,11/28/2017,0.092
New York,12/21/2017,0.067
New York,12/21/2017,0.071
New York,1/31/2018,0.058
New York,3/11/2018,0.061
New York,4/5/2018,0.068
New York,4/21/2018,0.082
New York,7/10/2018,0.181
New York,9/3/2018,0.164
New York,10/5/2018,0.133
New York,10/30/2018,0.138
New York,11/22/2018,0.091
New York,2/10/2019,0.061
New York,2/19/2019,0.064
New York,4/24/2019,0.114
New York,7/4/2019,0.176
New York,7/13/2019,0.176
New York,7/29/2019,0.178
New York,8/30/2019,0.168
New York,9/22/2019,0.146
New York,10/24/2019,0.128
New York,10/24/2019,0.126
New York,1/21/2020,0.065
New York,2/22/2020,0.064
New York,3/9/2020,0.071
New York,3/16/2020,0.069
New York,5/12/2020,0.144
New York,6/13/2020,0.183
New York,7/6/2020,0.166
New York,10/3/2020,0.151
New York,10/10/2020,0.171
New York,11/20/2020,0.094
Stockholm,3/8/2014,0.124
Stockholm,4/16/2014,0.124
Stockholm,4/23/2014,0.138
Stockholm,4/23/2014,0.137
Stockholm,4/25/2014,0.15
Stockholm,5/2/2014,0.162
Stockholm,5/18/2014,0.185
Stockholm,6/10/2014,0.227
Stockholm,6/10/2014,0.224
Stockholm,7/12/2014,0.208
Stockholm,7/21/2014,0.198
Stockholm,7/21/2014,0.203
Stockholm,9/7/2014,0.201
Stockholm,9/14/2014,0.189
Stockholm,9/30/2014,0.192
Stockholm,9/30/2014,0.19
Stockholm,3/9/2015,0.099
Stockholm,3/9/2015,0.098
Stockholm,3/18/2015,0.09
Stockholm,3/18/2015,0.101
Stockholm,7/24/2015,0.22
Stockholm,8/9/2015,0.218
Stockholm,8/9/2015,0.216
Stockholm,9/10/2015,0.192
Stockholm,10/3/2015,0.173
Stockholm,10/12/2015,0.178
Stockholm,10/28/2015,0.142
Stockholm,2/24/2016,0.107
Stockholm,2/24/2016,0.109
Stockholm,3/11/2016,0.097
Stockholm,4/12/2016,0.114
Stockholm,4/30/2016,0.114
Stockholm,5/7/2016,0.155
Stockholm,5/7/2016,0.161
Stockholm,5/23/2016,0.208
Stockholm,5/30/2016,0.221
Stockholm,6/8/2016,0.23
Stockholm,8/27/2016,0.188
Stockholm,8/27/2016,0.203
Stockholm,9/12/2016,0.19
Stockholm,9/12/2016,0.205
Stockholm,10/5/2016,0.186
Stockholm,10/5/2016,0.185
Stockholm,3/16/2017,0.119
Stockholm,3/23/2017,0.093
Stockholm,3/23/2017,0.104
Stockholm,5/1/2017,0.123
Stockholm,5/1/2017,0.121
Stockholm,5/26/2017,0.174
Stockholm,6/2/2017,0.213
Stockholm,7/13/2017,0.218
Stockholm,8/14/2017,0.193
Stockholm,8/14/2017,0.209
Stockholm,3/17/2018,0.106
Stockholm,3/17/2018,0.108
Stockholm,4/2/2018,0.082
Stockholm,4/11/2018,0.087
Stockholm,4/11/2018,0.097
Stockholm,4/20/2018,0.127
Stockholm,5/13/2018,0.177
Stockholm,5/13/2018,0.174
Stockholm,5/20/2018,0.204
Stockholm,5/20/2018,0.204
Stockholm,5/29/2018,0.195
Stockholm,5/29/2018,0.194
Stockholm,6/30/2018,0.188
Stockholm,7/16/2018,0.184
Stockholm,7/16/2018,0.197
Stockholm,8/1/2018,0.17
Stockholm,8/1/2018,0.184
Stockholm,8/8/2018,0.176
Stockholm,8/8/2018,0.176
Stockholm,8/17/2018,0.185
Stockholm,9/2/2018,0.184
Stockholm,9/2/2018,0.192
Stockholm,9/25/2018,0.185
Stockholm,9/25/2018,0.183
Stockholm,3/22/2019,0.089
Stockholm,4/21/2019,0.109
Stockholm,4/23/2019,0.133
Stockholm,5/16/2019,0.173
Stockholm,6/8/2019,0.205
Stockholm,6/17/2019,0.211
Stockholm,7/19/2019,0.191
Stockholm,7/19/2019,0.196
Stockholm,7/26/2019,0.204
Stockholm,7/26/2019,0.202
Stockholm,8/27/2019,0.202
Stockholm,8/27/2019,0.202
Stockholm,9/12/2019,0.186
Stockholm,9/21/2019,0.187
Stockholm,3/22/2020,0.103
Stockholm,3/22/2020,0.103
Stockholm,3/24/2020,0.133
Stockholm,4/9/2020,0.134
Stockholm,4/16/2020,0.12
Stockholm,4/23/2020,0.132
Stockholm,4/23/2020,0.132
Stockholm,5/9/2020,0.161
Stockholm,6/3/2020,0.201
Stockholm,6/10/2020,0.22
Stockholm,6/10/2020,0.218
Stockholm,6/19/2020,0.214
Stockholm,6/26/2020,0.216
Stockholm,6/26/2020,0.214
Stockholm,9/7/2020,0.197
Vancouver,1/25/2014,0.093
Vancouver,2/3/2014,0.115
Vancouver,5/1/2014,0.144
Vancouver,5/1/2014,0.158
Vancouver,7/29/2014,0.191
Vancouver,9/6/2014,0.144
Vancouver,9/6/2014,0.17
Vancouver,9/15/2014,0.17
Vancouver,1/12/2015,0.004
Vancouver,4/18/2015,0.145
Vancouver,5/20/2015,0.166
Vancouver,6/5/2015,0.162
Vancouver,6/14/2015,0.193
Vancouver,6/21/2015,0.152
Vancouver,6/30/2015,0.184
Vancouver,7/7/2015,0.134
Vancouver,8/17/2015,0.164
Vancouver,10/4/2015,0.163
Vancouver,11/28/2015,0.097
Vancouver,12/14/2015,0.01
Vancouver,12/30/2015,0.097
Vancouver,2/9/2016,0.119
Vancouver,2/25/2016,0.121
Vancouver,4/20/2016,0.156
Vancouver,4/20/2016,0.174
Vancouver,5/6/2016,0.166
Vancouver,5/6/2016,0.186
Vancouver,6/7/2016,0.158
Vancouver,8/19/2016,0.175
Vancouver,9/11/2016,0.16
Vancouver,12/16/2016,0.075
Vancouver,12/16/2016,0.105
Vancouver,12/25/2016,0.132
Vancouver,2/2/2017,0.084
Vancouver,5/25/2017,0.189
Vancouver,6/26/2017,0.167
Vancouver,7/5/2017,0.197
Vancouver,8/22/2017,0.173
Vancouver,8/29/2017,0.136
Vancouver,9/14/2017,0.131
Vancouver,9/14/2017,0.158
Vancouver,11/1/2017,0.124
Vancouver,4/26/2018,0.134
Vancouver,4/26/2018,0.15
Vancouver,5/5/2018,0.18
Vancouver,5/12/2018,0.168
Vancouver,5/12/2018,0.185
Vancouver,7/15/2018,0.149
Vancouver,7/15/2018,0.18
Vancouver,7/24/2018,0.18
Vancouver,8/9/2018,0.17
Vancouver,8/16/2018,0.134
Vancouver,9/26/2018,0.164
Vancouver,10/19/2018,0.121
Vancouver,12/6/2018,0.092
Vancouver,12/6/2018,0.117
Vancouver,1/7/2019,0.114
Vancouver,1/23/2019,0.031
Vancouver,3/21/2019,0.116
Vancouver,4/29/2019,0.156
Vancouver,5/8/2019,0.183
Vancouver,5/31/2019,0.166
Vancouver,8/28/2019,0.174
Vancouver,12/25/2019,0.115
Vancouver,2/20/2020,0.119
Vancouver,3/14/2020,0.096
Vancouver,3/14/2020,0.113
Vancouver,4/15/2020,0.121
Vancouver,4/15/2020,0.139
Vancouver,5/10/2020,0.178
Vancouver,7/20/2020,0.165
Vancouver,7/20/2020,0.193
Vancouver,7/29/2020,0.193
Vancouver,8/14/2020,0.189
Vancouver,8/30/2020,0.176
Vancouver,10/24/2020,0.135
Vancouver,10/24/2020,0.159
Vancouver,11/25/2020,0.074
Vancouver,12/4/2020,0.122
